ID,DT_Dec,Year_Dec,Month_Dec,Day_Dec,DEC,Flag_Approved,Channel,Age,State,Income,Spend @M4,
6778,26/10/2022,2022,10,26,A,1,TMK,37,Ciudad de Mexico," 1,030 "," 1,898 ",
6779,25/11/2022,2022,11,25,A,1,TMK,47,Nuevo Leon," 2,727 ", 905 ,
6780,12/09/2022,2022,9,12,A,1,TMK,48,Sonora," 2,121 "," 2,694 ",
6781,15/09/2022,2022,9,15,A,1,ONLINE,61,Tamaulipas," 1,515 "," 1,653 ",
6782,25/11/2022,2022,11,25,A,1,TMK,62,Queretaro," 1,818 ", 50 ,
6783,24/11/2022,2022,11,24,A,1,TMK,45,Jalisco," 1,212 ", 528 ,
6784,05/09/2022,2022,9,5,A,1,TMK,64,Estado de Mexico," 4,545 ", 429 ,
6785,18/11/2022,2022,11,18,A,1,ONLINE,52,, 909 ," 1,564 ",
6786,04/11/2022,2022,11,4,A,1,TMK,52,Nuevo Leon," 2,121 "," 1,620 ",
6787,26/10/2022,2022,10,26,A,1,ONLINE,32,Tabasco," 1,818 "," 3,103 ",
6788,26/10/2022,2022,10,26,A,1,TMK,63,Estado de Mexico," 3,030 "," 5,078 ",
6789,04/11/2022,2022,11,4,A,1,TMK,61,Chihuahua," 1,515 ", 520 ,
6790,18/11/2022,2022,11,18,A,1,TMK,61,Sonora," 4,121 ", 856 ,
6791,19/09/2022,2022,9,19,A,1,ONLINE,31,Puebla," 1,818 "," 2,028 ",
6792,22/11/2022,2022,11,22,A,1,ONLINE,45,Estado de Mexico," 1,212 "," 3,075 ",
6793,21/10/2022,2022,10,21,A,1,TMK,64,Jalisco," 1,818 ", 207 ,
6794,05/10/2022,2022,10,5,A,1,ONLINE,48,," 2,727 "," 5,811 ",
6795,23/09/2022,2022,9,23,A,1,TMK,69,Puebla," 2,727 ", 394 ,
6796,01/11/2022,2022,11,1,A,1,ONLINE,45,," 3,636 "," 2,568 ",
6797,23/09/2022,2022,9,23,A,1,TMK,36,Sonora," 2,121 "," 2,362 ",
6798,18/10/2022,2022,10,18,A,1,ONLINE,56,Ciudad de Mexico, 970 ," 1,909 ",
6799,07/10/2022,2022,10,7,A,1,ONLINE,38,Ciudad de Mexico," 2,000 "," 4,864 ",
6800,18/10/2022,2022,10,18,A,1,TMK,60,Nuevo Leon," 5,455 ", 685 ,
6801,15/09/2022,2022,9,15,A,1,ONLINE,53,Michoacan de Ocampo," 3,636 "," 3,801 ",
6802,21/10/2022,2022,10,21,A,1,TMK,50,Tamaulipas," 1,818 ", 62 ,
