Area,Province,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Revision_Date_Date_revision
"Senior managers - health, education, social and community services and membership organizations",BC,British Columbia,21.76,45.96,88,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",BC,Vancouver Island and Coast,22.04,39.41,83.11,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",BC,Lower Mainland,20.08,49.93,96.49,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",BC,Thompson--Okanagan,29.21,41.38,67.84,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",BC,Kootenay,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",BC,Cariboo,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",BC,North Coast,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",BC,Nechako,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",BC,Northeast,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",YK,Yukon Territory,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NW,Northwest Territories,,,,2019-11-04
"Senior managers - health, education, social and community services and membership organizations",NU,Nunavut,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NA,National,11.32,39.92,146.19,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NL,Newfoundland and Labrador,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NL,Avalon Peninsula,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NL,South Coast--Burin Peninsula,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NL,West Coast--Northern Peninsula--Labrador,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NL,Notre Dame--Central Bonavista Bay,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",PE,Prince Edward Island,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NS,Nova Scotia,11.55,35.91,111.11,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NS,Cape Breton,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NS,North Shore,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NS,Annapolis Valley,,,,2019-11-04
"Senior managers - trade, broadcasting and other services, n.e.c.",NS,Southern,,,,2019-11-04
